faculty,college,department,url
Claire Coudray, Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Lecturer
Emily Curtis, Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Lecturer
Liezel De Guzman, Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Lecturer
Robert DeLaCruz, Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Lecturer
Joanne Divito, Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Lecturer
Jacqueline Eusanio, Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Lecturer
John Farr, Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Lecturer
Jay Fischer, Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Lecturer
Eve Fleck, Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Lecturer
Hiroyasu Fujishima, Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Lecturer
Nick Galli, Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Lecturer
Elizabeth Garcia, Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Lecturer
Wendy Hassenpflug, Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Lecturer
Allen Hope, Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Lecturer
Ileana Hurtado, Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Lecturer
Shabnam Islam, Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Lecturer
Farzad Jalilvand Tehrani, Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Lecturer
Mai Jara, Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Lecturer
Jarrod Jonsrud, Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Lecturer
Nvard Khachatryan, Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Lecturer
Timothy Komori, Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Lecturer
Christine LaMonica, Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Lecturer
Jae Lim, Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Lecturer
Michele Longoria, Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Lecturer
Christopher Mcclain, Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Lecturer
Derek Mena, Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Lecturer
Dennis Mestas, Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Lecturer
Victoria Nichols, Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Lecturer
Matthew Parke, Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Lecturer
Daniel Parsons, Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Lecturer
Rebecca Pena, Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Lecturer
Lino Perez, Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Lecturer
Judy Pisarro-Grant, Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Lecturer
Robert Plotke, Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Lecturer
Michelle Rodriguez, Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Lecturer
Elizabeth Rohrer, Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Lecturer
Evan Rosenblatt, Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Lecturer
Bethana Rosenthal, Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Lecturer
Daniel Smith, Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Lecturer
Susan Snyder, Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Lecturer
Aaron Weinstein, Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Lecturer
Sharon West-Sell, Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Lecturer
Hooshang Bagheri, Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Emeritus
Shane Frehlich, Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Emeritus
Jennifer L. Romack, Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Emeritus
Mary J. Sariscsany, Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Emeritus
Ray Calnan, College of Business and Economics, Department of Business Law, https://www.csun.edu/blaw/faculty-directory
Mark Campbell, College of Business and Economics, Department of Business Law, https://www.csun.edu/blaw/faculty-directory
Wade Chumney, College of Business and Economics, Department of Business Law, https://www.csun.edu/blaw/faculty-directory
Allan Cooper, College of Business and Economics, Department of Business Law, https://www.csun.edu/blaw/faculty-directory
Reid L Denham, College of Business and Economics, Department of Business Law, https://www.csun.edu/blaw/faculty-directory?field_person_type_value%5Bfaculty%5D=faculty&field_person_type_value%5Bstaff%5D=staff&page=1
Valerie Flugge, College of Business and Economics, Department of Business Law, https://www.csun.edu/blaw/faculty-directory?field_person_type_value%5Bfaculty%5D=faculty&field_person_type_value%5Bstaff%5D=staff&page=1
Nina Golden, College of Business and Economics, Department of Business Law, https://www.csun.edu/blaw/faculty-directory?field_person_type_value%5Bfaculty%5D=faculty&field_person_type_value%5Bstaff%5D=staff&page=1
Viren Kapadia, College of Business and Economics, Department of Business Law, https://www.csun.edu/blaw/faculty-directory?field_person_type_value%5Bfaculty%5D=faculty&field_person_type_value%5Bstaff%5D=staff&page=1
David Newman, College of Business and Economics, Department of Business Law, https://www.csun.edu/blaw/faculty-directory?field_person_type_value%5Bfaculty%5D=faculty&field_person_type_value%5Bstaff%5D=staff&page=1
Christopher Ng, College of Business and Economics, Department of Business Law, https://www.csun.edu/blaw/faculty-directory?field_person_type_value%5Bfaculty%5D=faculty&field_person_type_value%5Bstaff%5D=staff&page=2
Tarini Ramaprakash, College of Business and Economics, Department of Business Law, https://www.csun.edu/blaw/faculty-directory?field_person_type_value%5Bfaculty%5D=faculty&field_person_type_value%5Bstaff%5D=staff&page=2
Lauren Ross, College of Business and Economics, Department of Business Law, https://www.csun.edu/blaw/faculty-directory?field_person_type_value%5Bfaculty%5D=faculty&field_person_type_value%5Bstaff%5D=staff&page=2
Leonard Rymsza, College of Business and Economics, Department of Business Law, https://www.csun.edu/blaw/faculty-directory?field_person_type_value%5Bfaculty%5D=faculty&field_person_type_value%5Bstaff%5D=staff&page=2
Douglas Carranza  ., College of Humanities, Department of Central American Studies, https://www.csun.edu/humanities/central-american-studies/faculty-type-photo
Karla Cativo, College of Humanities, Department of Central American Studies, https://www.csun.edu/humanities/central-american-studies/faculty-type-photo
Beatriz Cortez  ., College of Humanities, Department of Central American Studies, https://www.csun.edu/humanities/central-american-studies/faculty-type-photo
Jocelyn Duarte, College of Humanities, Department of Central American Studies, https://www.csun.edu/humanities/central-american-studies/faculty-type-photo
Stephanie Lemus, College of Humanities, Department of Central American Studies, https://www.csun.edu/humanities/central-american-studies/faculty-type-photo
Susana Marcelo, College of Humanities, Department of Central American Studies, https://www.csun.edu/humanities/central-american-studies/faculty-type-photo
Leslie Rodriguez, College of Humanities, Department of Central American Studies, https://www.csun.edu/humanities/central-american-studies/faculty-type-photo
Freya Rojo, College of Humanities, Department of Central American Studies, https://www.csun.edu/humanities/central-american-studies/faculty-type-photo
Lizbeth Ruiz-Torres, College of Humanities, Department of Central American Studies, https://www.csun.edu/humanities/central-american-studies/faculty-type-photo
Celia Simonds, College of Humanities, Department of Central American Studies, https://www.csun.edu/humanities/central-american-studies/faculty-type-photo
Jasmin Tobar, College of Humanities, Department of Central American Studies, https://www.csun.edu/humanities/central-american-studies/faculty-type-photo
Joseph Wiltberger  ., College of Humanities, Department of Central American Studies, https://www.csun.edu/humanities/central-american-studies/faculty-type-photo
An Yountae  ., College of Humanities, Department of Central American Studies, https://www.csun.edu/humanities/central-american-studies/faculty-type-photo
Arturo Zepeda, College of Humanities, Department of Central American Studies, https://www.csun.edu/humanities/central-american-studies/faculty-type-photo
Sandor Samuels, College of Business and Economics, Department of Business Law, https://www.csun.edu/blaw/faculty-directory?field_person_type_value%5Bfaculty%5D=faculty&field_person_type_value%5Bstaff%5D=staff&page=3
Kurt Saunders, College of Business and Economics, Department of Business Law, https://www.csun.edu/blaw/faculty-directory?field_person_type_value%5Bfaculty%5D=faculty&field_person_type_value%5Bstaff%5D=staff&page=3
Behzad Bavarian, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/full-time-faculty
Kang Chang, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/full-time-faculty
Robert D. Conner, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/full-time-faculty
Ileana Costea, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/full-time-faculty
Ahmad Sarfaraz, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/full-time-faculty
Guido Canzona, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/lecturers
Luis Echeverria, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/lecturers
Gus H. Elias, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/lecturers
Khashayar Behdinan, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/lecturers
Hamid Gholami, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/lecturers
Jay Hamade, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/lecturers
Jaleh Jahangiri, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/lecturers
Fereshteh Lavassani, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/lecturers
Anthony Magee, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/lecturers
Chima Ojukwu, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/lecturers
Lisa Reiner, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/lecturers
Babak Samimi, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/lecturers
Hans Shin, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/lecturers
Adrian Sita, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/lecturers
Salpy R. Tovar, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/lecturers
Shahriar Vazan, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/lecturers
Scott Wainess, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/lecturers
Bonita Campbell, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/emeritus-faculty
Jon Shively, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/emeritus-faculty
Gerald Davis, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/emeritus-faculty
Melvin Lifson, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/emeritus-faculty
Arnold Roe, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/emeritus-faculty
Bacic Carole, Health & Human Development, Department of Physical Therapy, https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
Barba Richard, Health & Human Development, Department of Physical Therapy, https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
Burke-Doe Annie, Health & Human Development, Department of Physical Therapy, https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
Burton Thomas, Health & Human Development, Department of Physical Therapy, https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
Carrle Raylean, Health & Human Development, Department of Physical Therapy, https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
Chang Julia, Health & Human Development, Department of Physical Therapy, https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
Clamor Charmaine, Health & Human Development, Department of Physical Therapy, https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
Donnelly Judd, Health & Human Development, Department of Physical Therapy, https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
Druz Viktoria, Health & Human Development, Department of Physical Therapy, https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
Ellis Anne, Health & Human Development, Department of Physical Therapy, https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
Ferreira Isabel, Health & Human Development, Department of Physical Therapy, https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
Hamilton Justin, Health & Human Development, Department of Physical Therapy, https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
Hawson Suzanne, Health & Human Development, Department of Physical Therapy, https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
Huntsman-Lannom Debra, Health & Human Development, Department of Physical Therapy, https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
Jimeno Francisco, Health & Human Development, Department of Physical Therapy, https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
Kamrava Shandiz, Health & Human Development, Department of Physical Therapy, https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
Katz Richard, Health & Human Development, Department of Physical Therapy, https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
Linares Ernie, Health & Human Development, Department of Physical Therapy, https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
Macnaughton Lorraine, Health & Human Development, Department of Physical Therapy, https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
Malaspina Stephanie, Health & Human Development, Department of Physical Therapy, https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
Monroy Edwin, Health & Human Development, Department of Physical Therapy, https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
Murakami Mae, Health & Human Development, Department of Physical Therapy, https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
Panama Gabriel, Health & Human Development, Department of Physical Therapy, https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
Sapienza Allison, Health & Human Development, Department of Physical Therapy, https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
Sinn Jared, Health & Human Development, Department of Physical Therapy, https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
Stewart Myra, Health & Human Development, Department of Physical Therapy, https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
Tyler Kristy, Health & Human Development, Department of Physical Therapy, https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
White Chris, Health & Human Development, Department of Physical Therapy, https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
Xiao Danny, Health & Human Development, Department of Physical Therapy, https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
Zandi Yvonne, Health & Human Development, Department of Physical Therapy, https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
Mechelle Best, Health & Human Development, Department of Recreation and Tourism Management, https://www.csun.edu/health-human-development/recreation-tourism-management/full-time-faculty
Jose Gonzalez, Health & Human Development, Department of Recreation and Tourism Management, https://www.csun.edu/health-human-development/recreation-tourism-management/full-time-faculty
Joong-won Lee, Health & Human Development, Department of Recreation and Tourism Management, https://www.csun.edu/health-human-development/recreation-tourism-management/full-time-faculty
Nathan Martin, Health & Human Development, Department of Recreation and Tourism Management, https://www.csun.edu/health-human-development/recreation-tourism-management/full-time-faculty
Dianne Philibosian, Health & Human Development, Department of Recreation and Tourism Management, https://www.csun.edu/health-human-development/recreation-tourism-management/full-time-faculty
HeeKyung (Erika) Sung, Health & Human Development, Department of Recreation and Tourism Management, https://www.csun.edu/health-human-development/recreation-tourism-management/full-time-faculty
Veda Ward, Health & Human Development, Department of Recreation and Tourism Management, https://www.csun.edu/health-human-development/recreation-tourism-management/full-time-faculty
Alan Wright, Health & Human Development, Department of Recreation and Tourism Management, https://www.csun.edu/health-human-development/recreation-tourism-management/full-time-faculty
Hui (Jimmy) Xie, Health & Human Development, Department of Recreation and Tourism Management, https://www.csun.edu/health-human-development/recreation-tourism-management/full-time-faculty
Applen Brittany, Health & Human Development, Department of Recreation and Tourism Management, https://www.csun.edu/health-human-development/recreation-tourism-management/lecturers
Castillo Francisca, Health & Human Development, Department of Recreation and Tourism Management, https://www.csun.edu/health-human-development/recreation-tourism-management/lecturers
Chesley Erika, Health & Human Development, Department of Recreation and Tourism Management, https://www.csun.edu/health-human-development/recreation-tourism-management/lecturers
Despain Joel, Health & Human Development, Department of Recreation and Tourism Management, https://www.csun.edu/health-human-development/recreation-tourism-management/lecturers
Garrovillas Erin, Health & Human Development, Department of Recreation and Tourism Management, https://www.csun.edu/health-human-development/recreation-tourism-management/lecturers
Lavin Kaila, Health & Human Development, Department of Recreation and Tourism Management, https://www.csun.edu/health-human-development/recreation-tourism-management/lecturers
Luo Lawrence, Health & Human Development, Department of Recreation and Tourism Management, https://www.csun.edu/health-human-development/recreation-tourism-management/lecturers
Newton Delfina, Health & Human Development, Department of Recreation and Tourism Management, https://www.csun.edu/health-human-development/recreation-tourism-management/lecturers
Sachs Robin, Health & Human Development, Department of Recreation and Tourism Management, https://www.csun.edu/health-human-development/recreation-tourism-management/lecturers
Schmidt Jason, Health & Human Development, Department of Recreation and Tourism Management, https://www.csun.edu/health-human-development/recreation-tourism-management/lecturers
Schuster Paulette, Health & Human Development, Department of Recreation and Tourism Management, https://www.csun.edu/health-human-development/recreation-tourism-management/lecturers
Shade Babette, Health & Human Development, Department of Recreation and Tourism Management, https://www.csun.edu/health-human-development/recreation-tourism-management/lecturers
Szczespanski Tim, Health & Human Development, Department of Recreation and Tourism Management, https://www.csun.edu/health-human-development/recreation-tourism-management/lecturers
Van Arsdale John, Health & Human Development, Department of Recreation and Tourism Management, https://www.csun.edu/health-human-development/recreation-tourism-management/lecturers
Vincent Leanne, Health & Human Development, Department of Recreation and Tourism Management, https://www.csun.edu/health-human-development/recreation-tourism-management/lecturers
Whitesides Chris, Health & Human Development, Department of Recreation and Tourism Management, https://www.csun.edu/health-human-development/recreation-tourism-management/lecturers
Wilsey Kassandra, Health & Human Development, Department of Recreation and Tourism Management, https://www.csun.edu/health-human-development/recreation-tourism-management/lecturers
Yost Wendy, Health & Human Development, Department of Recreation and Tourism Management, https://www.csun.edu/health-human-development/recreation-tourism-management/lecturers
Lisa Banner, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Robert Carpenter, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Randy Cohen, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Cheryl Courtney-Hogue, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Maria Elena deBellard, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Steve Dudgeon, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Peter Edmunds, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Gilberto E. Flores, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Yoshie Hanzawa, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Fritz Hertel, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Ray Hong, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Tim Karels, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Mariano Loza Coll, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Cindy Malone, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Rheem Medh, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Sean Murray, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Kerry Nickols, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Jeanne Robertson, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
